qubit_id,tx_state,tx_basis,decoy_level,rx_state,rx_basis,matching_basis
941,0,1,0,0,1,True
942,1,0,0,1,1,False
943,0,0,0,0,0,True
944,1,0,0,1,0,True
945,0,1,2,0,1,True
946,0,0,0,1,1,False
947,0,0,0,1,1,False
948,0,0,2,0,0,True
949,0,1,2,0,1,True
950,1,0,0,1,0,True
951,1,0,0,1,1,False
952,0,0,0,0,0,True
953,1,0,0,1,0,True
954,1,0,0,1,0,True
955,1,0,0,1,0,True
956,1,0,0,1,0,True
957,0,0,2,0,0,True
958,0,0,2,0,1,False
959,1,0,2,1,0,True
960,0,1,2,0,1,True
961,0,1,0,1,0,False
962,1,0,0,1,1,False
963,0,0,0,1,1,False
964,0,0,2,0,0,True
965,1,0,2,1,0,True
966,0,0,0,1,1,False
967,1,0,2,0,1,False
968,1,0,2,1,1,False
969,0,0,0,0,0,True
970,0,0,0,0,0,True
971,0,0,0,0,1,False
972,1,0,0,0,0,True
973,0,0,0,0,0,True
974,0,1,0,1,0,False
975,0,0,0,0,0,True
976,1,0,0,0,1,False
977,0,0,0,0,0,True
978,0,0,0,1,1,False
979,1,0,0,1,1,False
980,0,0,0,0,0,True
981,1,0,0,1,0,True
982,1,0,0,0,1,False
983,1,0,2,1,0,True
984,0,0,0,1,1,False
